newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
403033,1,2014-10-01,2015-06-15,15.00,68.07,988.91,65.33,970.71,149.11
288611,1,2005-09-19,2006-06-25,8.60,68.66,928.13,65.44,959.06,140.91
376137,1,2009-09-22,2010-06-14,13.57,52.47,1070.89,49.97,1128.25,170.14
60368,1,2002-02-19,2002-06-27,13.45,56.79,996.36,54.81,1042.54,106.07
292196,2,2011-09-06,2012-06-07,14.07,62.43,1026.94,61.68,1032.04,171.96
389058,1,2011-10-24,2012-05-19,14.60,54.53,1083.24,52.94,1134.84,178.33
417387,2,2015-01-08,2015-06-27,19.53,58.85,992.75,55.13,1044.66,120.50
195149,5,2011-02-15,2011-07-13,15.86,48.43,1109.24,48.49,1108.24,106.48
111691,2,2003-11-24,2004-05-24,13.93,57.74,1012.88,59.43,1037.23,157.92
257599,2,2007-09-29,2008-07-03,11.83,62.51,1002.39,58.47,1042.32,174.89
113883,2,2002-09-02,2003-06-10,9.27,67.08,924.14,62.71,981.00,137.40
189941,2,2006-10-17,2007-06-19,11.73,61.22,1025.64,57.65,1040.41,178.54
151340,6,2004-01-03,2004-06-14,22.52,54.32,1072.10,57.10,1054.19,105.58
331801,2,2011-11-03,2012-07-02,12.97,61.11,1054.53,60.04,1050.82,127.61
356982,3,2013-11-14,2014-05-23,13.13,65.24,1046.67,61.43,1038.45,216.14
57350,3,2003-02-02,2003-05-31,14.48,50.26,1134.32,53.40,1072.66,92.58
237472,5,2012-10-02,2013-06-12,16.33,62.32,953.92,62.23,978.37,179.13
82082,5,2003-11-26,2004-06-13,15.97,59.50,1112.52,58.15,1068.91,176.12
317578,1,2010-01-31,2010-06-07,15.29,48.16,1100.48,48.46,1107.25,131.70
28113,3,2001-02-10,2001-06-20,14.98,56.62,1042.49,55.03,1044.03,120.50
306882,2,2009-10-06,2010-06-13,12.63,67.30,1021.85,64.77,1006.37,148.97
330514,1,2007-11-18,2008-06-21,13.70,73.50,836.10,64.80,931.03,126.58
143504,1,2003-11-04,2004-06-28,12.13,61.77,1003.02,59.45,1064.13,155.85
315987,1,2011-02-18,2011-06-20,11.97,46.15,1184.45,50.10,1105.42,139.70
123498,1,2001-09-25,2002-05-24,15.83,59.02,1014.56,59.56,1021.20,169.26
340743,5,2013-02-11,2013-06-29,21.52,49.68,1065.61,50.12,1066.17,106.31
189925,2,2003-09-10,2004-06-15,15.60,59.34,1009.16,57.98,1051.08,165.34
184199,1,2003-02-08,2003-06-24,17.07,47.64,1114.35,48.13,1123.37,66.40
364953,1,2012-12-26,2013-06-15,17.13,62.90,959.65,59.60,1024.22,113.84
129151,8,2010-01-26,2010-06-23,20.54,41.42,1158.03,45.38,1133.60,84.20
412048,1,2014-11-15,2015-06-16,14.13,67.72,965.71,64.89,968.84,138.67
153751,2,2001-01-11,2001-07-02,18.51,44.91,1160.77,43.15,1175.33,99.77
238158,1,2006-02-13,2006-07-01,15.85,46.96,1137.93,45.55,1147.84,111.66
285784,2,2010-01-06,2010-05-20,24.35,47.63,1106.33,52.06,1084.50,156.91
375728,1,2013-09-24,2014-06-14,15.00,65.19,965.58,62.56,1018.91,150.88
194950,3,2006-11-09,2007-06-22,10.77,61.62,1042.13,61.64,1041.00,166.09
119857,1,2000-09-13,2001-06-16,12.47,61.47,1054.91,58.79,1063.06,153.84
386282,3,2008-11-28,2009-06-10,16.23,63.22,1068.05,63.37,1005.83,142.22
92222,2,2001-02-27,2001-06-25,16.09,56.56,1060.32,56.19,1060.99,108.56
21631,2,2000-12-04,2001-07-02,13.33,52.59,1112.88,55.63,1090.39,132.43
66797,1,2002-09-21,2003-06-28,8.60,66.66,1062.20,69.54,934.66,59.08
29255,4,2003-01-26,2003-06-14,15.39,54.48,1047.92,53.57,1078.45,111.88
416489,2,2014-12-27,2015-07-03,20.73,65.56,898.24,62.13,972.13,135.76
368857,1,2013-02-22,2013-06-16,12.22,50.93,1091.52,46.83,1122.57,121.02
289487,3,2009-02-06,2009-06-05,21.52,47.53,1102.13,52.27,1067.31,108.46
301388,5,2010-10-16,2011-06-04,12.07,60.81,1062.92,59.99,1034.45,175.47
419435,1,2015-02-07,2015-06-20,14.17,56.22,1049.36,50.73,1070.39,121.77
368853,3,2011-10-24,2012-06-25,15.43,52.01,1111.69,52.42,1102.82,149.59
243323,3,2009-12-24,2010-06-11,21.00,68.17,950.54,60.35,1035.52,83.52
310903,2,2008-10-25,2009-07-13,22.30,65.82,960.17,65.51,982.86,54.70
60478,1,2001-02-08,2001-07-10,15.63,45.66,1190.03,50.00,1132.97,180.58
314239,6,2011-01-21,2011-06-25,21.89,53.34,1083.76,49.74,1091.12,111.65
5406,6,2000-09-30,2001-05-25,18.27,69.98,930.88,63.51,1004.70,148.96
